time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2024-03-15,11,6,9,13,10,0,9,9,7
2024-03-16,12,5,9,13,9,9,4,11,6
2024-03-17,8,6,8,13,5,9,8,13,5
2024-03-18,10,8,6,12,6,8,7,14,3
2024-03-19,12,6,6,13,4,9,11,7,7
2024-03-20,12,6,9,12,8,9,5,10,5
2024-03-21,9,4,8,12,8,9,9,9,8
2024-03-22,7,8,7,12,2,9,7,8,8
2024-03-23,7,6,5,12,10,9,9,9,5
2024-03-24,10,5,6,12,8,9,9,12,5
2024-03-25,9,6,9,12,0,9,7,9,6
2024-03-26,11,4,7,11,6,9,6,8,6
2024-03-27,11,6,8,11,7,8,6,8,7
2024-03-28,9,5,9,11,6,9,9,12,6
2024-03-29,10,6,9,11,8,9,9,10,4
2024-03-30,11,5,6,11,8,9,9,9,7
2024-03-31,9,5,8,11,5,9,8,10,5
2024-04-01,10,5,6,11,9,9,8,12,6
2024-04-02,11,5,8,11,7,9,7,8,5
2024-04-03,12,7,6,11,6,9,4,9,5
2024-04-04,10,7,8,10,7,10,7,8,6
2024-04-05,10,9,6,11,6,10,9,9,7
2024-04-06,11,7,6,11,10,10,9,14,8
2024-04-07,10,7,7,11,6,10,7,6,4
2024-04-08,10,6,6,11,7,10,8,10,7
2024-04-09,11,6,7,11,6,10,9,8,6
2024-04-10,10,7,7,11,7,10,6,10,7
2024-04-11,11,6,6,11,5,10,8,10,6
